nohup: ignoring input
[2619, 456, 102, 3037, 1126, 1003, 914, 571, 3016, 419, 2771, 3033, 2233, 356, 2418, 1728, 130, 122, 383, 895]
Epoch1  loss:4.0137578487396235  accuracy:6.160915696502686
Epoch2  loss:3.9385325908660884  accuracy:5.50009831646818
Epoch3  loss:3.866767525672913  accuracy:5.033567350562995
Epoch4  loss:3.7945553541183465  accuracy:6.143334708368447
Epoch5  loss:3.770669329166412  accuracy:5.583835546384811
Epoch6  loss:3.745622408390045  accuracy:5.66465155577225
Epoch7  loss:3.7167627930641176  accuracy:5.324884641254504
Epoch8  loss:3.7070776581764218  accuracy:5.2425227275856
Epoch9  loss:3.702000617980957  accuracy:4.395235094583681
Epoch10  loss:3.6895920515060427  accuracy:6.157685410225486
Epoch11  loss:3.6822741746902468  accuracy:5.425695178235255
Epoch12  loss:3.683033335208893  accuracy:5.950945635162729
Epoch13  loss:3.6729621529579166  accuracy:5.203482234137812
Epoch14  loss:3.6681413054466248  accuracy:6.565811781341307
Epoch15  loss:3.655213391780853  accuracy:5.884134914790492
Epoch16  loss:3.6676863193511964  accuracy:5.232120262775839
Epoch17  loss:3.6509373545646673  accuracy:6.915918317960054
Epoch18  loss:3.6513438344001776  accuracy:6.47078708043467
Epoch19  loss:3.6565549969673157  accuracy:5.417855162796454
Epoch20  loss:3.6484564781188964  accuracy:7.156299258383407
Epoch21  loss:3.6373013496398925  accuracy:5.848980147077585
Epoch22  loss:3.6428916573524477  accuracy:5.944565197105272
Epoch23  loss:3.630348360538483  accuracy:7.057492882663198
Epoch24  loss:3.626821410655975  accuracy:6.982546394089211
Epoch25  loss:3.62266616821289  accuracy:6.359770390425967
Epoch26  loss:3.6340509057044983  accuracy:6.795765504577227
Epoch27  loss:3.627626729011536  accuracy:6.245651397569434
Epoch28  loss:3.6130015015602113  accuracy:7.905651235310136
Epoch29  loss:3.6139052271842953  accuracy:7.409364257077286
Epoch30  loss:3.6072361588478095  accuracy:6.0961753660336
Epoch31  loss:3.590754175186157  accuracy:7.806715800609859
Epoch32  loss:3.6015213847160337  accuracy:7.394949497033646
Epoch33  loss:3.5906480073928826  accuracy:7.579857351865283
Epoch34  loss:3.585483002662658  accuracy:8.158240285241376
Epoch35  loss:3.579388701915741  accuracy:9.067988645184956
Epoch36  loss:3.570384466648102  accuracy:9.619556376402082
Epoch37  loss:3.5622167587280273  accuracy:8.943584944911676
Epoch38  loss:3.5561187863349915  accuracy:8.492700429948343
Epoch39  loss:3.551658880710602  accuracy:8.120974236819853
Epoch40  loss:3.542404413223266  accuracy:8.757747800430572
Epoch41  loss:3.536413431167603  accuracy:9.854132887508419
Epoch42  loss:3.5372293114662168  accuracy:9.555020977413225
Epoch43  loss:3.5140371084213267  accuracy:10.441713196244654
Epoch44  loss:3.510437369346618  accuracy:10.239577038468655
Epoch45  loss:3.5039397001266477  accuracy:11.858149543965338
Epoch46  loss:3.492093312740326  accuracy:11.44805104069981
Epoch47  loss:3.483202445507049  accuracy:11.585894073655092
Epoch48  loss:3.464985477924347  accuracy:10.338664188426929
Epoch49  loss:3.4517287373542787  accuracy:12.76910862952984
Epoch50  loss:3.4398978233337396  accuracy:14.478056180278902
